,i,min energy
0,0,9.589590379092925e-30
1,1,1.2219700067083482e-09
2,2,8.035755420166564e-09
3,3,3.922496515112538e-08
4,4,1.133029549046474e-07
5,5,2.730903186622884e-07
6,6,2.5691996294807796e-07
7,7,4.682308947243372e-07
8,8,7.905924881599532e-07
9,9,9.241579644797793e-07
10,10,1.3938232825013201e-06
11,11,1.3718670107080354e-06
12,12,1.928464609364047e-06
13,13,2.632385698524829e-06
14,14,3.107972456306067e-06
15,15,4.072164297675355e-06
16,16,4.780433794644425e-06
17,17,5.618401420161172e-06
18,18,7.0270277019264984e-06
19,19,8.285164211095396e-06
20,20,1.0147558006256337e-05
